Sentence,Entity,Sentiment
they are often crowded on the weekends but they are efficient and accurate with their service.,service,positive
all my co-workers were amazed at how small the dish was.,food,negative
"the atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive
"the atmosphere is unheralded, the service impecible, and the food magnificant.",ambience,positive
"the atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive
"we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",food,negative
"the wait staff is friendly, and the food has gotten better and better!",food,positive
"the wait staff is friendly, and the food has gotten better and better!",service,positive
"this place, which is only a few months old, is perhaps queens' biggest secret!",anecdotes,positive
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",food,positive
this place is so much fun.,anecdotes,positive
i was glad i did.,anecdotes,positive
right off the l in brooklyn this is a nice cozy place with good pizza.,food,positive
right off the l in brooklyn this is a nice cozy place with good pizza.,ambience,positive
i've never been treated so rudely.,service,negative
i'll be back soon.,anecdotes,positive
le pere pinard has a $15 pre-theater menu that is outstanding.,food,positive
went inside and i started to get excited.,anecdotes,positive
i also ordered for delivery and the restaurant forgot half the order.,service,negative
our server checked on us maybe twice during the entire meal.,service,negative
"however, it is jus too good to not praise it.",anecdotes,positive
we have been to montparnasse many times and return often for good reason.,anecdotes,positive
the strong scents coming from the left and right of me negatively affected my taste buds.,anecdotes,negative
we had the lobster sandwich and it was fantastic.,food,positive
it's somewhere you can eat and be happy.,anecdotes,positive
"if you wrote a bad review, it's because you don't understand what rao's is all about.",anecdotes,positive
"had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",service,negative
but overall i give it a 10,anecdotes,positive
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",food,positive
deep fried skewers are good and still rare to find in nyc.,food,positive
"i have tried to make reservations, but both times, the hostess didn't have my name.",service,negative
i also recommend the rice dishes or the different varieties of congee (rice porridge).,food,positive
their tuna tartar appetizer is to die for.,food,positive
this was one of the best restaurants i've ever been to.,anecdotes,positive
this restaurant used to be pretty decent.,anecdotes,negative
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,positive
"if you love wine and cheese and delicious french fare, you'll love artisanal!",food,positive
i love indian food and consider myself to be quite an expert on it.,food,positive
plenty of choices to make your own creation.,food,positive
it was tiny and i felt like i was eating in someone's living room.,ambience,negative
overall a oh ya even though there is waiting it is deff worth it,anecdotes,positive
overall a oh ya even though there is waiting it is deff worth it,service,negative
the lava cake dessert was incredible and i recommend it.,food,positive
vt is what baby pizzas hope to be when they grow up.,anecdotes,positive
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,price,positive
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food,positive
the last time i went we were seated at a table in a corridor next to the kitchen.,anecdotes,negative
good selection of wines ranging from affordable to high end.,food,positive
"nice restaurant overall, with classic upscale italian decor.",ambience,positive
not impressed with the food.,food,negative
the entire dining experience was wonderful!,anecdotes,positive
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,anecdotes,positive
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,food,positive
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive
"order the panang duck, it's fantastic.",food,positive
what more can you ask for?,anecdotes,positive
they have authentic indian at amazin prices.,price,positive
they have authentic indian at amazin prices.,food,positive
you are treated just like royality.,service,positive
ambiance- relaxed and stylish.,ambience,positive
i've never felt more unwelcome than last month at jimmy's bronx cafe.,anecdotes,negative
"luckily we saved room for the bbq salmon, sea bass and crispy duck.",food,positive
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",food,negative
"looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",ambience,negative
and yes dal bukhara is so dam good and so are all the kababs.,food,positive
i look forward to eating here again,anecdotes,positive
i've been coming here as a child and always come back for the taste.,food,positive
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,food,positive
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,ambience,positive
"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.",food,positive
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,negative
the food always tastes fresh and served promptly.,food,positive
the food always tastes fresh and served promptly.,service,positive
the pizza here is delicious.,food,positive
my entire family was horrified.,anecdotes,negative
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",food,positive
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",service,positive
"for great chinese food nearby, you have wu liang ye and grand sichuan just a block away.",food,positive
"this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",anecdotes,positive
"this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative
i have never been disappointed in the red eye.,anecdotes,positive
hats off to the chef.,food,positive
this should have been done in a back room - away from customers.,anecdotes,negative
"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",anecdotes,positive
"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",service,negative
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",food,positive
its an excellent place to relax and the food is one of the best in the city of new york.,food,positive
its an excellent place to relax and the food is one of the best in the city of new york.,ambience,positive
"service is friendly, and never had a problem walking in and getting a table.",service,positive
check it out,anecdotes,positive
"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",service,negative
don't go.,anecdotes,negative
the food was bland oily.,food,negative
"what is even better, is that the prices are very affordable as well, and the food is really good.",price,positive
"what is even better, is that the prices are very affordable as well, and the food is really good.",food,positive
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",food,positive
"and kruno, the beverage manager is the best bartender i have yet to come across.",service,positive
"ambiance and music funky, which i enjoy.",ambience,positive
"the food, drinks and service are clearly among the best in the city.",food,positive
"the food, drinks and service are clearly among the best in the city.",service,positive
"it's a really great deal, considering we got full off of four dollars.",price,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",food,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambience,positive
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,positive
"last time i went here, the waitress didn't come back after taking our order.",service,negative
try the tandoori salmon!,food,positive
"i am completely hooked on this place, it is ridiculous.",anecdotes,positive
"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",anecdotes,negative
"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",ambience,positive
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",ambience,negative
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive
"have recommended the place to friends, always gets good response.",anecdotes,positive
we will return many times for this oasis in mid-town.,anecdotes,positive
i love the atmorphere @ peep!,ambience,positive
enjoy!,anecdotes,positive
this is one of my favorite restaurants and it is not to be missed.,anecdotes,positive
it could have been handled better.,anecdotes,negative
the service was attentive and her suggestions of menu items was right on the mark.,service,positive
the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of.,food,positive
"even after getting pushed out by the no-class famous ray's, sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the outstanding pizza!",food,positive
it's a rather cramped and busy restaurant and it closes early.,ambience,negative
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,negative
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",ambience,positive
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,negative
"we had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",food,positive
they were served warm and had a soft fluffy interior.,food,positive
what came to our table was burned beyond recognition and stringy.,food,negative
i had the pad thai and the noodles were sticky.,food,negative
"among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",price,positive
"frankly, when you compare what you can have here for lunch, versus mcds or so many other sandwich shops in the city, there is no comparison.",food,positive
the hostess is rude to the point of being offensive.,service,negative
"if you're craving for haru's great food, especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!",food,positive
"if you're craving for haru's great food, especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!",service,negative
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",ambience,negative
the food is great.,food,positive
succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,food,positive
"lunch came with pickels and slaw, no extra charge.",price,positive
decent wine at reasonable prices.,price,positive
decent wine at reasonable prices.,food,positive
all conveniently delivered right to the door.,service,positive
even the wine by the glass was good.,food,positive
nice family owned traditional restaurant.,anecdotes,positive
would have rather tried terrace in the sky or water club for that price,price,negative
this dish is my favorite and i always get it when i go there and never get tired of it.,food,positive
"i also ordered the change mojito, which was out of this world.",food,positive
the only thing more wonderful than the food (which is exceptional) is the service.,food,positive
the only thing more wonderful than the food (which is exceptional) is the service.,service,positive
we were very pleasantly surprised.,anecdotes,positive
"the food was just awful, atrocious actually.",food,negative
i will never visit this restaurant again.,anecdotes,negative
the soup for the udon was soy sauce and water.,food,negative
"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",food,positive
the waitress suggested glasses of wine that went very well with the food.,food,positive
the waitress suggested glasses of wine that went very well with the food.,service,positive
"they might be all business at the counter when you give your order, but their food says i love you.",food,positive
"they might be all business at the counter when you give your order, but their food says i love you.",service,negative
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",food,positive
try their plain pizza with fresh garlic or eggplant.,food,positive
don't go there!,anecdotes,negative
good luck getting a table.,anecdotes,negative
don't look down your nose at me like that...,anecdotes,negative
planet thai is great!,anecdotes,positive
the service is awful.,service,negative
just don't do it.,anecdotes,negative
just ignore the trendy wannabes.,anecdotes,negative
"the takeout menu says to keep an eye out for an expanded menu offering more italian dishes, i can't wait!",food,positive
"trust me, it will be great, and all of it will be devoured in no time.",food,positive
i wish they had one near my office- i would go everyday.,anecdotes,positive
finally!,anecdotes,positive
amma has the worst value for money i have experienced in nyc over the past 2 years.,price,negative
i think this would be a pretty good spot if it were not so overpriced and overrated.,price,negative
regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes.,service,positive
the pizza is good though.,food,positive
bottles of wine are cheap and good.,price,positive
bottles of wine are cheap and good.,food,positive
you will not be disapointed at all.,anecdotes,positive
walk-ins are risky too.,anecdotes,negative
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.",food,positive
they didn't give us the dinner special until we asked for it.,service,negative
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,food,positive
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",food,positive
very good service and very good prices.,price,positive
very good service and very good prices.,service,positive
i recently went to this restaurant with some co-workers for lunch and had an amazing time.,anecdotes,positive
"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,positive
ess-a-bagel (either by sty-town or midtown) is by far the best bagel in ny.,food,positive
our food was great too!,food,positive
open late (well as late as i ever got there and i'm a night person),anecdotes,positive
"the most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",service,negative
"get your food to go, find a bench, and kick back with a plate of dumplings.",anecdotes,positive
"please try the filet mignon, its just the most tender piece ever.",food,positive
"everything we had was pretty good, but we have only been there once.",food,positive
"we were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",anecdotes,negative
something about them being busy with holiday party's.,anecdotes,negative
the sake menu should not be overlooked!,food,positive
i would highly recommend.,anecdotes,positive
this place is great.,anecdotes,positive
the drinks are amazing and half off till 8pm.,price,positive
the drinks are amazing and half off till 8pm.,food,positive
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,food,positive
"with so many poor experiences to be had in the theater district, is truly an excellent find!",anecdotes,positive
this has got to be one of the most overrated restaurants in brooklyn.,anecdotes,negative
"the service, wine selection, ambiance are all outstanding and deserve recognition.",food,positive
"the service, wine selection, ambiance are all outstanding and deserve recognition.",ambience,positive
"the service, wine selection, ambiance are all outstanding and deserve recognition.",service,positive
"went there last night for 2 year anniversery, and wasn't all that impressed.",anecdotes,negative
it was rather pathetic that it took them over an hour to seat us.,service,negative
"it's really also the service, is good and the waiters are friendly.",service,positive
suan was a recommendation that i am glad we heeded.,anecdotes,positive
"it is set far from the small street it's on, and there is no traffic noise.",ambience,positive
i felt as though i were eating in paris.,ambience,positive
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.,food,positive
"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",food,positive
"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",ambience,positive
"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",service,positive
"however, it's not worth a special trip.",anecdotes,negative
nice value.,price,positive
gigino's in wagner park is so enjoyable.,anecdotes,positive
and it was quick which is very important.,service,positive
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,anecdotes,positive
all the nyu students love this place so it makes for a fun young atmosphere.,ambience,positive
the food here does a great service to the name (cantonese that is...).,food,positive
joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,food,positive
joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,ambience,positive
"if that's a problem, go to mcdonald's and destroy your insides.",anecdotes,negative
the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,price,positive
the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,food,positive
i've been here 3 times for lunch and it is one of my favorites in the city.,anecdotes,positive
"i had their eggs benedict for brunch, which were the worst in my entire life, i tried removing the hollondaise sauce completely that was how failed it was.",food,negative
"i work near-by, and they have the best oatmeal in the neighborhood- not a packaged or quick-cooked item.",food,positive
too bad the food wasn't of the same heritage.,food,negative
"the menu looked good, except for offering the chilean sea bass, but the server does not offer up the specials that were written on the board outside.",service,negative
sexy.,anecdotes,positive
"the food was really good, i had the onion soup and it was one of the best ever.",food,positive
"i will have to say, this bengali fast food joint is clearly my favorite.",anecdotes,positive
i'm not picky - but it was actually gross.,food,negative
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",price,positive
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",anecdotes,positive
"since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",ambience,negative
"since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",service,positive
"it costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",price,negative
"even with john's and joe's around the corner, this place will make a name for itself.",anecdotes,positive
"it melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",food,positive
"when he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",service,negative
"the dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of chinese here).",food,negative
"don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",anecdotes,positive
i think that it is absolutely brilliant and well runned business operation.,anecdotes,positive
also they were $15 each!,price,negative
if you want good authentic thai this place is not the place to go.,food,negative
"if you want some roast duck, pork or chicken on rice with ginger, try them out!",food,positive
"you order from a menu, so you leave feeling like you missed the full experience.",anecdotes,negative
one of the more authentic shanghainese restaurants in the us definitely the best in manhattan chinatown.,anecdotes,positive
we will go back every time we are in the city.,anecdotes,positive
we love th pink pony.,anecdotes,positive
staff is very accomodating.,service,positive
"if you were there when it first opened, give this restaurant a second chance.",anecdotes,positive
yourself a favor and have dinner here and see if you dont agree with me.,anecdotes,positive
definitely a great spot for a nice occasion or date.,anecdotes,positive
you can't go wrong with this place.,anecdotes,positive
very popular style izakaya (sake and small portion of sake-friendly dishes ).,food,positive
hurley's is like cheers where everyone knows your name and they are actually glad you came.,service,positive
not pretentious and very economical.,price,positive
not pretentious and very economical.,ambience,positive
"the food was terrific and the service classy, attentive, without being overbearing.",food,positive
"the food was terrific and the service classy, attentive, without being overbearing.",service,positive
this is an amazing place to try some roti rolls.,food,positive
fresh ingredients and everything is made to order.,food,positive
"we have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.",service,positive
quick and friendly service.,service,positive
authentic bistro!,anecdotes,positive
somewhat pricey but what the heck.,price,negative
"it's true, this place is not cheap.",price,negative
"try the hot dogs too, they're snappy and delicious.",food,positive
delivery is fast too.,service,positive
"the noise level was unbearable, conversation impossible.",ambience,negative
personal pans are the perfect size for those hungry nights.,food,positive
highly recommended is the spicy fried clam rolls and spider rolls.,food,positive
one of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way.,anecdotes,positive
it's convenient.,anecdotes,positive
thanks bloom's for a lovely trip.,anecdotes,positive
the atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,price,positive
the atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,ambience,positive
"when we stumbled on leon, we thought that we had found quite the gem but, we were certainly wrong.",anecdotes,negative
instead of wasting your time here: support restaurants that care about food.,anecdotes,negative
just got back from lunch at tamarind and it was excellent.,food,positive
"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.",food,positive
"the man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).",service,negative
try the cheesecake!,food,positive
as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,food,negative
as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,service,negative
great indian food and the service is incredible.,food,positive
great indian food and the service is incredible.,service,positive
go here.,anecdotes,positive
if you are in the area try the bagel shoppe on 74th street which is 3 blocks away on 2nd ave.,anecdotes,positive
rosario's is without a doubt one of the greatest pizzerias in existence.,anecdotes,positive
"decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",food,positive
"decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",ambience,positive
we ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.,food,negative
"especially liked chicken tikka and the naan, and the dals.",food,positive
the waiters were not attentive except that the bill turned up on the table before we were finished.,service,negative
the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty.,ambience,positive
we generally like good restaurants and eat out often but kai was way to expensive for what we got.,price,negative
what a great place.,anecdotes,positive
the sangria was pretty tasty and good on a hot muggy day.,food,positive
don't eat here unless you're starving for thai food and you work next door.,anecdotes,negative
this tiny williamsburg spot is always pleasantly surprising.,anecdotes,positive
"for the people who want great food plus great service, roxy is a place to avoid!",food,negative
"for the people who want great food plus great service, roxy is a place to avoid!",service,negative
i had the best ravioli ever.,food,positive
ive been here a bunch of times now and the service is always outstanding.,service,positive
"quite frankly, this is some of the worst sushi i have ever tried.",food,negative
"the food is great, service is ok.",food,positive
"the overall price tag was very very expensive, something i did expect.",price,negative
"spice is great thai food, love the inexpensive appetizers.",price,positive
"spice is great thai food, love the inexpensive appetizers.",food,positive
even after they overcharged me the last time i was there.,service,negative
the service was attentive.,service,positive
"he not only makes his own homemade mozzarella, but every pie is ultra fresh.",food,positive
fish was overdone.,food,negative
"when you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside.",ambience,positive
we visited bread bar during january restaurant week and were so pleased with the menu selections and service.,food,positive
we visited bread bar during january restaurant week and were so pleased with the menu selections and service.,service,positive
you could get a much better dining experience for the same amount of money in a lot of other french bistros.,anecdotes,negative
the establishment scores big points in presentation and style.,ambience,positive
"the rest of the dim sum, though pricey by chinatown standards, is worth it.",price,negative
"the rest of the dim sum, though pricey by chinatown standards, is worth it.",food,positive
good food.,food,positive
"the wait staff is very friendly, if not overly efficient.",service,positive
surprisingly nothing could be further from the truth.,anecdotes,positive
the dim sum however was very good.,food,positive
