Sentence,Entity,Sentiment,Probability
Good competative quote with excellent levels of cover brilliant online service and exceptional call centres.,line service,positive,0.99512637
Setting up the insurance for our new car and temporary car cover with AXA was very straightforward and the AXA staff were helpful and efficient.,cover,positive,0.9986583
Great service easy to use website,service,positive,0.9991923
Easy to use website clear and easy instructions fast and efficient service,service,positive,0.99932003
I shopped around for house insurance and was amazed by the price quoted which was a 3rd cheaper than my highest quote.,price,positive,0.9974446
I found my first experience of choosing my home insurance quite simple,experience,positive,0.9978465
I work for one of the largest motor insurers in the UK and have managed sales and claims teams.,insurers,positive,0.86274964
Online service and price great easy to use website!,service and price,positive,0.9992667
Claim was processed in under 30 minutes advisor was very friendly and offered a very reasonable set of options which I took on the spot.,minutes,positive,0.99897444
The agent was transparent with all the information on my new policy.,information,positive,0.9976617
Jenny the lady who looked after me was extremely helpful and made the whole process very straight forward.,process,positive,0.9987833
Easy to follow website - straight forward and reasonably priced BUT AXA did not state earlier in the process that they charge for credit card payment (which was on the high side!),credit card,negative,0.023294246
The vehicle insurance advisor was excellent in guiding me through the pros and cons of each grade of insuranceultimately providing me with just the insurance I requiredwith the option(s) of upgrading as required.,advisor,positive,0.9990815
love axa even thought your more expensive I KNOW you have the proper business ethics behind the policy.,axa,positive,0.9628661
Also it would appear that if I cant produce 20 years of no claims bonus my premium may go up Don't you feel it a bit naughty and a bit greedy and ever so slightly sly to let that be known once you have taken my money ?,premium,negative,0.010517771
Very good service easy to follow instructions would recommend to other users very good rates and excellent payment scheme,payment,positive,0.9987237
Very patient and helpful service from a delightful young lady every step explained and clarified details,service,positive,0.99929583
When I gave my debit card details it was refused as a ' foreign' card.,debit card,negative,0.0033075209
very straight forward regarding ease of searching the website  pleased with the over all package and price .,price,positive,0.9989502
£400 cheaper than my last insurer who doubled my premium with no claims made in the 3 years I was with them!,insurer,negative,0.29307687
AXA quoted the best price with the cover i wanted.,price,positive,0.99375147
Excellent friendly customer service and s brilliant price well done Axa all round brilliant service,service,positive,0.9989667
Very pleased with the service provided by a very nice lady called Janice she could not have been more helpful.,service,negative,0.34234637
It was possible to purchase car insurance through AXAs website which is what I wanted to do.,website,positive,0.9943634
Cant find my paperwork on my online account so will need to phone in again for assistance.,paperwork,negative,0.04895419
Easy site good prices,site,positive,0.99886537
Efficient service and pleasant person dealing with everything.,service,positive,0.9992668
very helpful and fast service i got the product i needed at the right price.,service,positive,0.99920744
Got car insurance for my dad who's 85 they were at least 200 pounds cheaper then anyone else easy to use website,website,positive,0.995849
Excellent and fast only issue is being asked for proof of no claims when already have policy with them,policy,positive,0.9512316
Absolutley first class service spoke with a really pleasant gentleman who sorted out our quote straight away well done AXA!,class,positive,0.99795496
i would recommend axa and i would buy from them again if they were competitive especially if their renewal notice price was competitive instead of being ridiculously expensive hoping i wouldn't have time to look round as happened with my previous insurer.,insurer,positive,0.8116648
The sales assistant was very thorough and understood my requirements and was efficient and very courteous  throughout the whole process.,requirements,positive,0.9988681
Excellent service but making the purchase online was not easy.,service,positive,0.99148893
I chose AXA as I use my car abroad and was fed up having to pay for extended cover for every individual trip.,cover,negative,0.009172799
It's not common to say in most customer service interactions people exceed expectations but the customer service team here do.,customer service,positive,0.993679
did not think i would have to set up an online account to get my documentsi wanted them to be posted.,account,negative,0.017610956
Lastly the next set of no claims bonuses will be posted as registered mail since now I am not comfortable with your computer systems.,systems,negative,0.011328537
the service I received was excellent very good company would recommend them,company,positive,0.9986999
Being a senior citizen and never bought insurance on line I found this site to be very easy to use had all the information I needed  I also talked to a young lady named Ginette at axa she was a pleasure to talk to and extremely helpful I will cirtainly use this site again thank you very much.,axa,positive,0.9975479
So far fantastic easy to use website and what's I can finally have protected ncd.,ncd,positive,0.99761933
He called back as promised this morning  which sadly in the day & age I was shocked at.,day,negative,0.011433371
Axa had the best car insurance price.,insurance price,positive,0.99915946
The cost of my car insurance was low compare to other companies for an experience driver like myself with over 10 years bonus Excellent value for money.,value,positive,0.9982595
I have declined to give top marks because I do not like the 'faffing around' required to 'opt out' of agreeing to automatic renewal and feel the option ought to be to 'opt in'.,renewal,negative,0.009818463
I found your service very good the gentleman I spoke to on the phone was very polite and explained things very clearly,service,positive,0.9991825
The only complaint i have is the fact we have to print our own documents.,documents,negative,0.021944713
Great price for all types of cover better than other companies in comparison and more things are covered so feels safer,price,positive,0.99731904
The business seems to be professional & the website is clear & well thought out.,website,positive,0.9987937
Disappointed about the jump in price within 1 day,price,negative,0.004298224
The travel insurance industry need to realise people with medical issues are more discerning  and will NOT be ripped off.,issues,negative,0.04575568
Excellent service quick and easy workbook.,service,positive,0.9992091
... They paid put no problem and their prices are great.,problem,positive,0.9730033
I took the policy out at 10.00am its now 19.09pm and I still havent received an email with the link to the axa website...I have my policy nos but slightly perplexed to as why I havent received my link yet...,link,negative,0.008672083
my telephone purchase of car insurance was with a gentleman called Alan it was positive clear and concise experience making my decision to go AXA easy.,gentleman,positive,0.9988243
very easy web site to use good policy at a realistic price recommended,site,positive,0.99839526
I thought that the sale rep for AXA insurance was very professional and he took time to answer all my questions.,insurance,positive,0.9970323
The site was extremely easy to navigate and at the end it was easy to email my proof of no claims discount.,proof,positive,0.99818087
I've been disappointed with my current insurers service and attitude.,insurers,negative,0.01526411
Intended to stay with the insurance company I was with but on checking out of interest was pleased with the outcome of their prices and the fast efficient way it was dealt with,insurance company,positive,0.9939885
I had a problem accessing the website from my Mac for some reason.,website,negative,0.0075254957
will definitely not buy from axa again if they did what my previous insurer did and renew my insurance take my premium etc without informing me at all.,insurance,negative,0.012608625
Called me from axa to check my details and completed quote which was 1/2the price of allianz insurance I have second car already with Chaucer insurance and with multi car discount I got it1/2 price for what I was paying with them so overall saved Â£430 which basically was the cost of one insurance policy friendly happy advisor who sorted this out for me and called me back when he said he was going to do very happy with service and advisor,axa,positive,0.9865175
No problems with site.A little blip with email address had to use email you sent me.,email,negative,0.018206498
Salesman dean was really helpful and has great customer service skills,dean,positive,0.99894935
The woman on the phone was clear and direct and asked the departments needed before giving me the correct information.,departments,positive,0.99781454
buying not a problem but trying to prove my ncb was very difficult as i cancelled another policy to go with axa they tried telling me the ncb was not acceptable due to being on another vehicle had to send several emails before someone with a brain actually approved the ncb,problem,negative,0.019275019
I have 3 cars on cover and I am confident I have been given the best prices and the most comprehensive cover available.,prices,positive,0.99903643
Have been an AXa customer for many years however on this occasion overall service was wvtrememlh poor.,customer,negative,0.042760454
I have 10 year no claim bonus and when insured I lost 2 years and will become at the end  just 8  years  .,bonus,negative,0.036505066
As a paraglider I need insurance that covers all eventually s and the axa one is the only one that does so brilliant and easy web site to fill in,web site,positive,0.99858594
After getting  the quote through a comparison site i ended having 2 price increase before the final total amount1st because i brought the start date forward from 4th Sept to 11th August and then secondly a smaller rise of Â£6.07p because... I DONT OWN MY HOUSE this is just another excuse to fleece/ extort money out of a customer its about time the regulator looked into these disgraceful practises.And they were still the cheapest BUT at a final price of Â£277.94 for a 1999 focus 1.6 ghia with a Â£250 excess for a man of 49 with full ncb is crazythe car was only valued at Â£100.,time,negative,0.013497425
Great prices and very helpful staff,prices,positive,0.9991665
A quick and easy way to change car insurance provider.,provider,positive,0.9987514
A fantastic efficient and friendly service a better price than other companies too!!,companies,positive,0.99835074
Quick and easy to buy car insurance and ability to print insurance details.,insurance details,positive,0.99904746
The company gave good value for money and it was a stress free experience.,experience,positive,0.9963741
I was very happy with the quote provided on Compare the Market and the advice and help provided by your agent on the telephone.,advice,positive,0.9981488
And despite my complaint STILL no one has bothered to call me or reply to me with any kind of an explanation.,reply,negative,0.018909657
The strength and merits of any insurance is in the service and procedure you receive when you invoke the claims procedure.,procedure,positive,0.9969091
Spoke to two different members of staff when insuring both my cars....both were superb and I genuinely cant complain (which is rare when speaking about insurance companies)...many thanks,companies,positive,0.9487671
Very good service for the past year and very good staff on phone but just had a quote for this coming year and it's Â£300 more than a quote on a price comparison website.,price,negative,0.43822327
Excellent service but a bit shocked when we were told we could only pay by a one off payment !,service,positive,0.9966112
i did not like the default auto renewal to the payment card used for initial purchase there should be an opt out option during purchase process rather than burying in the small print what you need to do to stop this.,default auto renewal,negative,0.0049210815
All online so no waiting around for paperwork and no administration fees.,online,negative,0.05861557
The phone call took ages and ages as the poor agent was required to literally read me the entire policy and explain things that had already been explained online - so it was terribly time consuming and a duplication of everything I'd already noted.,agent,negative,0.03162584
From start to finish a very professional outfit...the cost and telephone chat spot on,telephone,positive,0.82249963
chose car insurance not only on price but also have home insurance and found it to be an excellent service,service,positive,0.99908483
I was frustrated at having to print off the many pages of the policy document and the complexity of accessing information on line.The rapid verbal explanation was difficult to follow.,policy,negative,0.01004127
My renewal came through good price paid on line insurance done another year easy motoring,price,positive,0.9976018
The whole process was easy to follow and the information was clear and understandable.,process,positive,0.9985202
Easy to understand process and my final policy ended up being cheaper than the initial quote off the comparison site.,process,positive,0.9969271
Very helpful and friendly staff that dealt with my call and made it very easy for me to decide on taking out house insurance.,insurance,positive,0.9988526
It took me a few seconds to contract my policy with a clear interface with all the information I needed.,information,positive,0.99819595
The price from Axa was the best this year for me but it's disappointing to see that all sorts of price 'massaging' is involved if you use the same details when going via different aggregators and directly on their website - which does not inspire confidence.,website,negative,0.0077251764
If I had not of been switched on to notice and changed my policy on line it would of cost me annualised out Â£200 more than it did to cancel the existing and take another policy out with axa........crazy and a little disheartening for a loyal customer,axa,negative,0.085129656
It was easy to talk to axa insuranceand graham the person I spoke to was very helpful with talking me through all the detailsand sending me all the details,graham,positive,0.9983936
Very helpful customer service administrator and a better deal than the previous one I looked at.,service,positive,0.9988807
I would recommend this company and ask people to look as well as I think they are brilliant,people,positive,0.9985305
Setting up insurance has been quite straight forward but trying to log in and print off car insurance documents just sends me back to ' make a new quote'  so at this time i cant print them off,insurance,positive,0.96756995
Was a very easy site to use no messing about and all straight forward  excellent  service,service,positive,0.9991032
The website was very user friendly and it was straight-forward to purchase this insurance.,website,positive,0.9989687
took me 5 times phoning onn the phone for 15min each time then when got through took another half hour to go through my internet application had to repete all the information I had given on line and this was supposed to be a quick way to insure your car then when I got my paper work it was wrong another half hour phone call to put things right  very poor show,phone,negative,0.026409036
This automatic renewal issue is very annoying in all insurance policies.,renewal,negative,0.0061947103
I took out the car insurance in the wrong name.,insurance,negative,0.004969648
An easy site to navigate but all insurance companies conceal the add-ons in their initial offer-could be confusing to some-this was no better or worse than most and at least it gets the brain cells working.,insurance companies,positive,0.9959021
Hannah took time to make sure all problems were sorted carefully.,problems,positive,0.9850034
highly recommend company as it was easy to join and the online website was very good to navigate and pick items relating to the insurance,items,positive,0.9982944
the site has not worked on my mac on the three times i tried.,site,negative,0.014412467
Took 60 mins of my time to purchase the quote I'd saved after pressing 'purchase now' button & having no obvious means of purchsasing - before having 'guess' you have to go to the insurer's site - and a further 30 mins after I purchased of frustration trying to download my policy before giving up to ring them only to have a 10 minute wait without use of any indication as to where you are in the queue or how long you can expect.,policy,negative,0.006885613
They take a reasonable look at the risks presented and give an appropriate quote.,quote,positive,0.9987197
I recieved excellent service once I got through  to a very polite advisor.,advisor,positive,0.9979132
Only problem afterwards was that I tried to register myself on my account online and it just would not accept it so I had to phone up to request help.,online,negative,0.013892563
Although the proof of NCB was sent by post to AXA the same day I have yet to receive confirmation of receipt.,receipt,negative,0.01701815
Very good site and clear easy to follow instructions.,instructions,positive,0.9989613
Let's hope long term you live up to your standards and put genuine customers to the forefront of your business rewarding such!,standards,positive,0.99770147
This was not the first time I had experienced problems with the AXA website.,problems,negative,0.025596505
I had excellent service on the phone but was disappointed that it's meant to be an on-line service and phone calls are discouraged by an administration fee.,service,negative,0.10610121
Good annual price and I'm hopeful of a good service should I need to speak over the telephone in the future.,service,positive,0.9951886
I was very happy until I received the confirmation email and discovered I had to print my certificate.,confirmation email,negative,0.14816836
Web site does not work comfortably with an iPad.,site,negative,0.009185749
Background noise in the call centre made some of the questions difficult to hear.,questions,negative,0.0034882857
Good website good price.,price,positive,0.9955063
The website was so easy to use - at no point did I need to contact them using any other form of communication.,communication,positive,0.9707267
very very good service the representative was very good,service,positive,0.9991479
\n\nAnd yes I will certainly continue to utilise AXA's facilities in the future assuming that my experience thus far is maintained.,experience,positive,0.9990277
Reputable company with great prices,prices,positive,0.99856985
very easy to deal with good value for money would recommend to anyone I see no need to use another company for my home insurance needs.excellent customer service very polite agents no hassle claims procedure,money,positive,0.98172826
Had problems viewing home insurance documents as only old car insurance documents visible.,documents,negative,0.03181361
Used AXA as I've made a no fuss very quick claim off them in the past and their staff couldn't of been more helpful,claim,negative,0.2810828
the man that help me find my car insurance was really helpful he was friendly and professional my last insurance company was not very nice so it was hard to renew on the phone but you man made me feel better,insurance company,negative,0.007944318
"well i can only comment on the quote via the internet , which was simple and straight forward to use , i did have difficulty with registering and the password reset email never came but that could be an internet issue,",internet issue,negative,0.009052756
Went through a range of options and I decided to cancel my previous insurance and start a new policy.,range,positive,0.5780957
there were cheaper quotes online but they didn't give the same cover needed for my holiday and there wasn't a big difference in the price either.,holiday,negative,0.026977887
Because the person I spoke with was not listening he has put information on the form which I did not give. . . After I had paidin fullthe company said I had to pay another £96 + £30 to change the detailswhich was the fault of the guy who took my details . . . Had he been listening to me instead of concentrating  getting a sale he'd have known what I was saying instead of ripping me of . . .RIPPED,company,negative,0.024772761
The gentleman I spoke to took me through the information I had given to get the initial quote and calmed any fears I had  about the information I had given.,gentleman,positive,0.9973519
\nShe is very good at her job and i think she deserves a pay rise.,pay rise,positive,0.99848586
Online service easy to use and reasonable prices!,prices,positive,0.9989858
I sent proof of my insurance no claims recorded signed for yet you state you still have not received it.,no claims,negative,0.008716743
Tanya provided the best car insurance customer service I have experienced.,insurance customer service,positive,0.9992786
do not agree that customers should have to e mail or telephone to opt out of automatic renewal a simple tick box is sufficient,mail or telephone,negative,0.013947208
No problems good cover and very competitive price.,problems,positive,0.9975413
Very efficient with little fuss easy to follow with a robust process flow.,process,positive,0.9963684
The CSA was very helpful polite and patient and answered the questions I asked.,questions,positive,0.99911374
This questionaire is a bit pointless!,questionaire,negative,0.004367225
Very good service for your money cheaper than anyone else but still get all the extras.,service,positive,0.9988764
Superb customer service a very helpful and polite sales rep was able to answer all my questions and find the product that most suited my needs.,customer service,positive,0.99930954
pleased to get the confirmation emails very quickly - especially as have had to send in proof of NCD - you do worry that it gets lost in space when hitting send,confirmation,positive,0.99387
is the 1st time in UK but found the website easy to understand the options and the staff on the phone made it easy and understandable.,website,positive,0.99876094
\nI was able to talk to human beings on the phone who were extremely efficient when I couldn't find the answers to my queries online and all very pleasant and helpful.,phone,positive,0.9980621
Very help full man patient with the prices and made a saving,prices,positive,0.9988918
This was excruciating as I was buying two insurances,insurances,negative,0.022041745
Negative point is that they automatically renew after a year and you have to email or phone them to stop that.,phone,negative,0.0053042998
website was easy to work round -- just 15 minutes to complete the application,website,positive,0.9980118
The agent was very polite and professional and I would recommend the service to everyone!,agent,positive,0.9990533
I bought car insuranceand found Jake most helpfull,car insurance,positive,0.9988557
Home insurance quote process was quick easy and a good price.,price,positive,0.9987871
I found the company of Compare the Market website and the price was certainly very competitive.,price,positive,0.9988433
Great service & price from axa will certainly call again for any further quotes,service,positive,0.9991365
Easy to follow steps and cheap price too.,steps,positive,0.9977543
wanted to change a detail but the detail l wanted to change was not available why are there only certain details that can be changed?,detail,negative,0.005325732
great no trouble getting what i wanted but trouble with the on line service will have to call during the week will not let m sign keeps saying i have an account when i do not.,account,negative,0.003725432
So easy to re new insurance got a reminder & accepted  price was acceptable,reminder,positive,0.9986432
Competitive price particularly with Quidco cash back.,price,positive,0.99667645
Notably the experience was professional hassle-free and took less than 10 minutes to resolve from start to finish.,experience,positive,0.95190376
I found the quotation really good but was confused at the buy now and I paid full price when I wanted to pay by instalments,quotation,positive,0.6093674
Website is user friendly and the offered rate is very competitive.,user,positive,0.9978961
Very friendly clearly explained what's what super fast without failwen I asked questions got clear answer straight away recommend for everyone need more people like that 120%positive,people,positive,0.99486166
clear pricing easy to navigate website plain English timely follow up with online documents,pricing,positive,0.9993332
I found it quick and easy to apply for the insurance cover and great that they set you up an online account too,cover,positive,0.9987494
Very helpful staff easy transaction great prices,transaction,positive,0.99930406
Even more disappointed to discover that if I chose not to proceed there would be a £25 fee charged for something which I hadn't even purchased.,fee,negative,0.003288011
excellent prices when compared with other companies.,prices,positive,0.99498427
\nDon't usually leave reviews but was really happy with the service!,service,positive,0.99866486
you don't know how good your insurance is until you need it and unfortunately we did need it and axa fell way short.,insurance,negative,0.030363984
A a is one of my favourite insurers as it have good prices and very helpful and nice staff.,staff,positive,0.9990044
Very easy online quotes and very helpful sales persons.,online,positive,0.9989843
Very easy once you have filled in details quick service would recommend the website and economic insurance.,website,positive,0.99906904
I like the fact that there are a few options that can be added or removed to tailor the cover not all insurers do this.,insurers,negative,0.19433309
Disappointed that I could not renew my policy all on lineas it would not accept my car registration so had to phone thus costing Me more money and time.Although the sales person was very helpfulbut still inconvienent.,sales,negative,0.35363454
Straight forward service at a good price.,service,positive,0.9989231
I needed to add a car to my already existing insurance they were very helpful and I was very pleased that my NCD could be mirrored onto the new insurance.,car,positive,0.99782676
It was difficult for me to speak at work so she called me back at a more convenient time to speak.,work,negative,0.12697265
couldn't find anyone cheaper and axa is a name you can trust would recommend to my friends easy to deal with and staff very pleasant rare nowdays,staff,positive,0.99830973
very helpful and nothing too much trouble,trouble,positive,0.9949726
Having not used AXA insurance before I found the website easy to use and very helpful.,website,positive,0.9958545
I have no issues with AXA but I did have a bad experience with the Company they use to assess the claim as they gave an inaccurate estimate of repair cost that was £800 less than the lowest quote I obtained and I found this very stressful!,repair,negative,0.011952491
System was very easy to use new policy in place and paid for within 4 minutes cover was very clear and not too wordy - simple process would certainly recommend,policy,positive,0.9917802
Much cheaper than brightside my soon too be old insurer Â£960 they wantedaxa a really good service thanks,service,positive,0.99899644
The website very easy to get insurance quote I normally get insurance from brokers but first time try axa insurance and quite happy,axa,positive,0.99856347
i would have certainly given two pluses had it not been for the gobbledygook about marketing calls at the end.,end,negative,0.033950627
Pelita then confirmed all the information given checked if I needed any extras and explained concisely all the policy details and conditions.,policy,positive,0.9958884
Great price great product and great website!!,product,positive,0.9986203
Quick and easy to use website  fair price from and brand name you can trust also have my home and contents with AXA insurance.,website,positive,0.9985991
Excellent Value and the website was easy to use.,website,positive,0.9987973
Used a comparison site but theirs was the best price for a comparable product.,product,positive,0.9986098
My renewal quote came through at 15% more than the new customer price even though I had not made a claim.,price,negative,0.007222417
the insurance coverage items are good but legal and breakdown is not included and adds to the price if you want them so do check.,coverage items,positive,0.98560506
The final offer was very inclusive and competitive and I would definitely recommend this service.,service,positive,0.9991171
the buying process was very quick and simple - I can't rate their actual service yet though as I haven't yet made a claim!,service,negative,0.24746563
I initially conducted my request for a car insurance quotation via the AXA website which was very straightforward and easy to navigate.,website,positive,0.9975337
telephone and internet service fast and efficient however would have liked hard copy of policy posted to me.,internet service,positive,0.99767655
But I can't possibly rate you as an insurer until I've spent my time with you and seen how you deal with complaints queries or accidents.,insurer,negative,0.018394217
Fast efficient service and good value for money.,service,positive,0.99918276
After numerous attempts to put in password which failed gave up feeling very annoyed and frustrated,password,negative,0.003552168
Very friendly & professional  no complaints hope its the same if any problems arise,problems,positive,0.99414897
Spot on customer service really helpful lady on the phone and great price for my coach house insurance!,service,positive,0.9990595
i found axa car insurance to be easy to purchase with a good website which was easy to navigate and at a very competitive price for a good level of cover with a well known supplier.,axa,positive,0.99731004
Not been told anything about claims bonus from previous years but still decided to go with AXA not happy.,claims,negative,0.007553705
Excellent service And great to mirror no claims bonus for 2nd car,service,positive,0.998806
First attempt failed at payment stage so had to repeat whole process.,stage,negative,0.036344253
Easy to purchase in old-fashioned mode - telephone - pleasant manner simple easy process,process,positive,0.9983242
Chap I spoke to when just wanted to pay for the policy was a bit pushy on the extras repeating himself over and over and getting a \ no thanks\  from me.,policy,negative,0.01907917
David at AXA was clear and precise when clarifying any questions I had prior to confirming my acceptance of the premium quoted,questions,positive,0.9988728
Good fast serviceEasy to use website and a good price insurance cover.,cover,positive,0.99820256
Easy too use web site appears too be good policy.,web site,positive,0.9964251
\nGreat price in comparison to my current remewal quote.,quote,positive,0.9987772
The sales person was easy to understand and spoke clearlyand answered all the queries I had,queries,positive,0.99913484
The insurance was so much cheaper than I'd been paying the site was so easy to use.,insurance,positive,0.99819046
i telephoned to complain as i have never been asked to prove this before and also filled in that in over 60 years of driving have never had an accident.,accident,negative,0.016903143
Felt cheated with double price hike within minutes.,price,negative,0.005130097
Went out of her way to get me through to other departments who very impolite compared to the service I just received.,service,negative,0.032432605
Really good service when I took out my insurance policy - agent was very helpful and knowledgeable - and the price was excellent compared to competitors.,price,positive,0.97375137
He asked whether I was aware of the multi-car discount available he applied it for me and resulted in getting the cheapest and most comprehensive policy I could get.,policy,positive,0.9984308
\nI've worked in retail sales and customer service for many years and can't praise the service I received enough absolutely superb and perfect in every way.,customer service,positive,0.9985643
Good price clear website great telephone service.,telephone service,positive,0.9992681
i don't like the automatic annual renewal.,renewal,negative,0.0034395447
Quick and easy saved Â£120 over my previous insurers renewal quote.,insurers,positive,0.96566063
The  purchase of my car insurance was straight forward no need for phone calls and quick feedback for my details.,feedback,positive,0.9981446
no facility for average and can hardly put poor or bad when i've bought a policy so i can't give an accurate rating,policy,negative,0.008593752
The customer services team were rude and didn't listen to my needs.,services,negative,0.005849622
Easy and painless liked that I didn't have to get on the phone for 2 hours whilst being asked loads of weird questions.,questions,negative,0.11333647
They offer good quality insurance however they charge to pay via credit card which seems pretty dated.,quality insurance,positive,0.9963665
Difficult to get printed copies of documents.,copies,negative,0.002709506
Excellent service from Anthony Ward and another lady who assisted with a change,service,positive,0.9991247
The quote I had from a price commission site was reduced even more with a multi-car policy and a very good service from the person I talked to Assaf.,policy,positive,0.99868184
Quality covers at a fair premium not the cheapest on comparison site I was using in fact I had to make a phone before accepting cover phoned 2 insurance competitors who where cheaper both told me I was in  a queue  expect approx.,insurance,negative,0.33886266
I was so impressed with the customer service that i re-instated my car insurance even though the premiums were slightly higher.,customer service,positive,0.9983492
Really friendly staff explained everything in full regarding the policy.,policy,positive,0.9987956
\nCompletion of the form and submission was relatively easy and completion of policy docs on their website was quick and efficient,website,positive,0.99897325
The online process was quick logical and hassle-free.,process,positive,0.9969386
Already have my car insurance with AXA both at a great price.,insurance,positive,0.9985089
excellent friendly service answered all my questions gave me confidence to proceed with my policy found to be very polite as well,questions,positive,0.99896157
It came to light during the telephone questions why the application originally failed and the assistant was very helpful in helping to resolve the problems.,questions,positive,0.99760675
Good customer service polite staff was dealt with efficiently.,customer service,positive,0.99921846
I ran out of time initially but Jade offered to call me back 9am the next day which she did on the dot and quickly completed the insurance cover.,insurance cover,positive,0.99755573
Easy to use their  website  and reasonably priced home insurance,home,positive,0.9988545
Easy to use website and very competitive prices,website,positive,0.9984577
It took 5 minutes to purchase annual travel insurance via the website the documents appeared within minutes ready to be printed off or saved.,website,positive,0.9427947
Brilliant price for new 2016 plate car,price,positive,0.99860436
The agent (Louise) that I dealt with today was knowledgeable professional and yet approachable in the way she answered all the questions I had.,questions,positive,0.99740833
After a few difficulties initially l decided to ring back and spoke to David  who guided me through the policy and the policy was taken out the main issue that l do not agree with is that insurance companies penalise non  blamers in accidents and hence are penalised by being made to pay more for there policy,accidents,negative,0.012057828
Eventually a colleague rung me and offered a cheaper replacement fro my phone that what it was worth.,colleague,positive,0.9942386
However the insurance quote was good compared to my usual insurer therefore I chose AXA.,insurance,positive,0.9132247
They were Excellent answered all my questions and got the best quote.,questions,positive,0.9981943
was a bit perplexed though why one should incur a fee if you wanted to make amendments to the policy over the phone which is unfair on those who may not be computer literate especially older people,fee,negative,0.010370315
An error message kept appearing with no explanation as how to fix it.,error,negative,0.0045610964
Taking money from my account but refusing to cover me!,cover,negative,0.0027051354
The service was great a little disappointed with the actual insurance as it did not cover me for outside of the home even tho I do pay for it but as it wasn't a valuable it isn't covered.,insurance,negative,0.02230382
